nom_entreprise_aria,nom_api,siren,siret,categorie_entreprise,syndicat_regional,code_dept,adresse,commune,code_postal,naf,aria_region,latitude,longitude
SODELY,SODELY,448512384,44851238400091,ETI,ARIA AURA,01,ZAC DE ROSARGE LES ECHETS LES ECHETS 01700 MIRIBEL,01249,01700,10.11Z,ARIA AURA,45.865788,4.922325
CHARCUTERIE LARCON,CHARCUTERIE LARCON,501606875,50160687500018,PME,ARIA AURA,01,LE BALMAY 29 RUE DU TILLEUL 01430 VIEU-D'IZENAVE,01441,01430,10.11Z,ARIA AURA,46.092906,5.544978
CHARCUTERIE LARCON,CHARCUTERIE LARCON,501606875,50160687500026,PME,ARIA AURA,01,6 PLACE DE L'EGLISE 01590 DORTAN,01148,01590,10.11Z,ARIA AURA,46.319193,5.659925
CHARCUTERIE LARCON,CHARCUTERIE LARCON,501606875,50160687500034,PME,ARIA AURA,01,9 PLACE DE L’HOTEL DE VILLE 01100 BELLIGNAT,01031,01100,10.11Z,ARIA AURA,46.242186,5.628642
ABATTOIRS DES CRETS,ABATTOIRS DES CRETS,331979989,33197998900026,ETI,ARIA AURA,01,3 RUE JOSEPH JACQUARD 01000 BOURG-EN-BRESSE,01053,01000,10.11Z,ARIA AURA,46.22112,5.225184
ABATTOIRS DES CRETS,ABATTOIRS DES CRETS,331979989,33197998900034,ETI,ARIA AURA,01,5 RUE JOSEPH JACQUARD 01000 BOURG-EN-BRESSE,01053,01000,10.11Z,ARIA AURA,46.221232,5.224274
ABATTOIRS DES CRETS,ABATTOIRS DES CRETS,331979989,33197998900042,ETI,ARIA AURA,01,1 RUE JOSEPH JACQUARD 01000 BOURG-EN-BRESSE,01053,01000,10.11Z,ARIA AURA,46.220888,5.227113
CENTRE VIANDES BEAUVALLET FILS,CENTRE VIANDES BEAUVALLET FILS,086780202,08678020200031,ETI,ARIA AURA,01,659 AVENUE LEON BLUM 01500 AMBERIEU-EN-BUGEY,01004,01500,10.11Z,ARIA AURA,45.963526,5.342019
SA JOLY,SA JOLY,382006021,38200602100010,PME,ARIA AURA,01,01560 SAINT-JEAN-SUR-REYSSOUZE,01364,01560,10.11Z,ARIA AURA,46.39723,5.063083
SA JOLY,SA JOLY,382006021,38200602100028,PME,ARIA AURA,01,LA NEUVE 111 AVENUE DE MACON 01440 VIRIAT,01451,01440,10.11Z,ARIA AURA,46.212224,5.217427
PERINET,PERINET,310817572,31081757200046,PME,ARIA AURA,01,HAMEAU LE POUX 460 CHEMIN DE BOIS SEC 01570 FEILLENS,01159,01570,10.11Z,ARIA AURA,46.329196,4.887559
PERINET,PERINET,310817572,31081757200053,PME,ARIA AURA,01,356 CHEMIN ETANG BADEL 01380 BAGE-DOMMARTIN,01025,01380,10.11Z,ARIA AURA,46.318496,4.972876
BOURG CUIRS,BOURG CUIRS,441954229,44195422900015,ETI,ARIA AURA,01,POLES DES VIANDES 32 RUE FRANCOIS ARAGO 01000 BOURG-EN-BRESSE,01053,01000,10.11Z,ARIA AURA,46.226612,5.223851
BOURG CUIRS,BOURG CUIRS,441954229,44195422900023,ETI,ARIA AURA,01,6 RUE JOSEPH JACQUARD 01000 BOURG-EN-BRESSE,01053,01000,10.11Z,ARIA AURA,46.221262,5.225061
JULIEN NICOLAS,JULIEN NICOLAS,429000185,42900018500026,PME,ARIA AURA,01,PIN 01290 LAIZ,01203,01290,10.11Z,ARIA AURA,46.246968,4.91425
JULIEN NICOLAS,JULIEN NICOLAS,429000185,42900018500034,PME,ARIA AURA,01,FAYOLLE 01190 CHEVROUX,01102,01190,10.11Z,ARIA AURA,46.39588,4.951932
C.M.V. VIANDES,C.M.V. VIANDES,814287009,81428700900025,PME,ARIA AURA,01,6 RUE LOUIS ARMAND 01200 VALSERHONE,01033,01200,10.11Z,ARIA AURA,46.088126,5.81609
PICHAT CHAPOLARD,PICHAT CHAPOLARD,969506823,96950682300034,PME,ARIA AURA,01,1125 RTE DE VEISSIEUX LE HAUT 01600 REYRIEUX,01322,01600,10.11Z,ARIA AURA,45.9252,4.829592
SOCIETE D'EXPLOITATION ET DE GESTION  DE L'ABATTOIR DE BELLEGARDE (S.E.G.A.B),SOCIETE D'EXPLOITATION ET DE GESTION  DE L'ABATTOIR DE BELLEGARDE (S.E.G.A.B),502513526,50251352600017,PME,ARIA AURA,01,ZI ARLOD 01200 VALSERHONE,01033,01200,10.11Z,ARIA AURA,46.1173398,5.3256514
JACQUES MEURIER,JACQUES MEURIER,417732757,41773275700022,PME,ARIA AURA,01,LES QUATRES VENTS 01190 REYSSOUZE,01323,01190,10.11Z,ARIA AURA,46.43061,4.92666
ALAIN FIXOT,ALAIN FIXOT,503216533,50321653300011,PME,ARIA AURA,01,926 RUE DU PORT 01390 TRAMOYES,01424,01390,10.11Z,ARIA AURA,45.866862,4.97337
ROMAIN DURAND,ROMAIN DURAND,804204576,80420457600016,PME,ARIA AURA,01,26 AVENUE DU GENERAL SARRAIL 01500 AMBERIEU-EN-BUGEY,01004,01500,10.11Z,ARIA AURA,45.955162,5.337998
PIERRE-YVES GENARD (PIERROT SERVICES),PIERRE-YVES GENARD (PIERROT SERVICES),895272243,89527224300026,PME,ARIA AURA,01,17 BOULEVARD VOLTAIRE 01000 BOURG-EN-BRESSE,01053,01000,10.11Z,ARIA AURA,46.20051,5.223034
LAURENT FORAY (AIN PRESTA BOUCHERE),LAURENT FORAY (AIN PRESTA BOUCHERE),891485591,89148559100012,PME,ARIA AURA,01,22 RUE DE TOURAINE 01000 BOURG-EN-BRESSE,01053,01000,10.11Z,ARIA AURA,46.196092,5.271706
BOUCHERIE DU VEYRON,BOUCHERIE DU VEYRON,912782570,91278257000010,PME,ARIA AURA,01,1 RUE NEUVE 01450 PONCIN,01303,01450,10.11Z,ARIA AURA,46.086271,5.407716
LA BOUCHERIE PARISIENNE,LA BOUCHERIE PARISIENNE,917443186,91744318600015,PME,ARIA AURA,01,94 BOULEVARD DE BROU 01000 BOURG-EN-BRESSE,01053,01000,10.11Z,ARIA AURA,46.201218,5.232303
BOYAUDERIE AINDINOISE,BOYAUDERIE AINDINOISE,901993345,90199334500015,PME,ARIA AURA,01,189 ROUTE DE BEZEMEME 01540 VONNAS,01457,01540,10.11Z,ARIA AURA,46.218761,5.005814
ALEXIS OMONT,ALEXIS OMONT,819645896,81964589600013,PME,ARIA AURA,01,16 RUE DE L'INDUSTRIE 01100 BELLIGNAT,01031,01100,10.11Z,ARIA AURA,46.242026,5.627756
GREGORY GENIN,GREGORY GENIN,824899611,82489961100019,PME,ARIA AURA,01,34 RUE DE LA VACHERE 01230 NIVOLLET-MONTGRIFFON,01277,01230,10.11Z,ARIA AURA,46.002371,5.471662
ARNAUD & COW,ARNAUD & COW,919137752,91913775200011,PME,ARIA AURA,01,11 RUE DU CHATEAU 01340 MONTREVEL-EN-BRESSE,01266,01340,10.11Z,ARIA AURA,46.33709,5.128866
COMPAGNIE D'ABATTAGE DE BOURG (C.A.B.),COMPAGNIE D'ABATTAGE DE BOURG (C.A.B.),332199132,33219913200025,ETI,ARIA AURA,01,CENORD 32 RUE FRANCOIS ARAGO 01000 BOURG-EN-BRESSE,01053,01000,10.11Z,ARIA AURA,46.226612,5.223851
HA DESOSS,HA DESOSS,377905500,37790550000049,PME,ARIA AURA,01,ZONE ARTISANALE EN BEAUVOIR 120 RUE DE LA OUTARDE 01500 CHATEAU-GAILLARD,01089,01500,10.11Z,ARIA AURA,45.977851,5.323247
MICKAEL ZOUBIRI (L'AME DU COUTEAU),MICKAEL ZOUBIRI (L'AME DU COUTEAU),753543198,75354319800026,PME,ARIA AURA,01,5 LOTISSEMENT PRES GAUDET 01400 CHATILLON-SUR-CHALARONNE,01093,01400,10.11Z,ARIA AURA,46.110988,4.969314
ETS GESLER BOUCHERIE GROS,ETS GESLER BOUCHERIE GROS,760201582,76020158200011,PME,ARIA AURA,01,HOTONNES 41 RUE DU PONT 01260 HAUT VALROMEY,01187,01260,10.11Z,ARIA AURA,45.997631,5.702931
FINE VIANDE,FINE VIANDE,908620685,90862068500010,PME,ARIA AURA,01,5 ROUTE DE PORT GALLAND 01800 SAINT-MAURICE-DE-GOURDANS,01378,01800,10.11Z,ARIA AURA,45.821185,5.197178
CHRISTOPHE FONTANELLE (PRESTA DECOUP),CHRISTOPHE FONTANELLE (PRESTA DECOUP),399940998,39994099800020,PME,ARIA AURA,01,LES MONTAINES 01270 COLIGNY,01108,01270,10.11Z,ARIA AURA,46.395642,5.336605
BRUNO DESMARIS,BRUNO DESMARIS,421516246,42151624600012,PME,ARIA AURA,01,556 ROUTE DU LOGIS NEUF 01310 CONFRANCON,01115,01310,10.11Z,ARIA AURA,46.256405,5.054268
AMELIE PACCOUD (LA CONSERVERIE DU RATELIER),AMELIE PACCOUD (LA CONSERVERIE DU RATELIER),800758716,80075871600024,PME,ARIA AURA,01,NIVOLLET 7 RUE DU RATELIER 01230 NIVOLLET-MONTGRIFFON,01277,01230,10.11Z,ARIA AURA,45.993034,5.445846
SOCIETE BELLEGARDIENNE D'ABATTAGE (SBA),SOCIETE BELLEGARDIENNE D'ABATTAGE (SBA),803376805,80337680500013,PME,ARIA AURA,01,BELLEGARDE SUR VALSERINE ZI D'ARLOD 6 RUE LOUIS ARMAND 01200 VALSERHONE,01033,01200,10.11Z,ARIA AURA,46.088126,5.81609
DECOUPES SERVICES,DECOUPES SERVICES,804963999,80496399900011,PME,ARIA AURA,01,LES CARRONNIERES 100 RUE DES GUERS 01160 PRIAY,01314,01160,10.11Z,ARIA AURA,46.027968,5.30025
BOUCHERIE BUTCHER (BOUCHERIE BUTCHER),BOUCHERIE BUTCHER (BOUCHERIE BUTCHER),902724632,90272463200010,PME,ARIA AURA,01,29 AVENUE DE LA GARE 01120 MONTLUEL,01262,01120,10.11Z,ARIA AURA,45.851565,5.057041
LE BOUCHER BY COMPTOIR DES SAVEURS (LE BOUCHER BY COMPTOIR DES SAVEURS),LE BOUCHER BY COMPTOIR DES SAVEURS (LE BOUCHER BY COMPTOIR DES SAVEURS),904379500,90437950000013,PME,ARIA AURA,01,573 ROUTE DU NANT 01280 PREVESSIN-MOENS,01313,01280,10.11Z,ARIA AURA,46.249884,6.090374
VINCENT TAVERNIER (L'ATELIER DE LOUISE),VINCENT TAVERNIER (L'ATELIER DE LOUISE),921888343,92188834300016,PME,ARIA AURA,01,115 CHEMIN DU MOULIN 01500 DOUVRES,01149,01500,10.11Z,ARIA AURA,45.988149,5.3752
RAJPOUTE COMPTOIR DE VIANDE (RAJPOUTE COMPTOIR DE VIANDE),RAJPOUTE COMPTOIR DE VIANDE (RAJPOUTE COMPTOIR DE VIANDE),920210515,92021051500010,PME,ARIA AURA,01,CENTRE COMMERCIAL ESPACE CANDIDE CHE DU BOIS CANDIDE 01210 FERNEY-VOLTAIRE,01160,01210,10.11Z,ARIA AURA,46.243918,6.095445
BOUCHERIE AMIOT (BOUCHERIE AMIOT),BOUCHERIE AMIOT (BOUCHERIE AMIOT),910858539,91085853900018,PME,ARIA AURA,01,4 RUE DE LA REPUBLIQUE 01200 VALSERHONE,01033,01200,10.11Z,ARIA AURA,46.108312,5.828807
BOYAUDERIE CHRISTIAN DUCLOS,BOYAUDERIE CHRISTIAN DUCLOS,503455867,50345586700021,PME,ARIA AURA,01,14 AVENUE ARSENE D'ARSONVAL 01000 BOURG-EN-BRESSE,01053,01000,10.11Z,ARIA AURA,46.219356,5.219627
EST VIANDES,EST VIANDES,513967240,51396724000039,PME,ARIA AURA,01,ZONE ARTISANALE EN BEAUVOIR 120 RUE DE LA OUTARDE 01500 CHATEAU-GAILLARD,01089,01500,10.11Z,ARIA AURA,45.977851,5.323247
ILLIAT QUE DU HALAL,ILLIAT QUE DU HALAL,814043162,81404316200019,PME,ARIA AURA,01,CHAMP BERNON 01140 ILLIAT,01188,01140,10.11Z,ARIA AURA,46.184525,4.873416
BOUCHERIE V.V.E (BOUCHERIE V.V.E),BOUCHERIE V.V.E (BOUCHERIE V.V.E),917818783,91781878300016,PME,Non rattaché,[N,[NON-DIFFUSIBLE],01160,[NON-DIFFUSIBLE],10.11Z,Non rattaché,,
SCA LES BERGERS DU NORD EST,SCA LES BERGERS DU NORD EST,780233276,78023327600028,PME,Agro-Spheres,02,2 RUE D'HAUTION 02140 LA VALLEE-AU-BLE,02759,02140,10.11Z,Agro-Spheres,49.858032,3.790064
BOUCHERIE CHARCUTERIE PASCAL (BOUCHERIE CHARCUTERIE PASCAL),BOUCHERIE CHARCUTERIE PASCAL (BOUCHERIE CHARCUTERIE PASCAL),951470194,95147019400014,PME,Agro-Spheres,02,13 RUE DE VERDUN 02140 LA BOUTEILLE,02109,02140,10.11Z,Agro-Spheres,49.86035,3.984233
BOUCHERIE CHARCUTERIE PASCAL (BOUCHERIE CHARCUTERIE PASCAL),BOUCHERIE CHARCUTERIE PASCAL (BOUCHERIE CHARCUTERIE PASCAL),951470194,95147019400022,PME,Agro-Spheres,02,126 RUE CHARLES DE GAULLE 02500 HIRSON,02381,02500,10.11Z,Agro-Spheres,49.917634,4.085602
LA VIANDE CHAUNOISE,LA VIANDE CHAUNOISE,876120072,87612007200049,ETI,Agro-Spheres,02,149 AVENUE PIERRE MENDES-FRANCE 02000 LAON,02408,02000,10.11Z,Agro-Spheres,49.577942,3.639955
SOVICA LOTTIN,SOVICA LOTTIN,305755944,30575594400033,PME,Agro-Spheres,02,6 PLACE DU BROUAGE 02300 CHAUNY,02173,02300,10.11Z,Agro-Spheres,49.614681,3.214242
VILLETTE VIANDES,VILLETTE VIANDES,301693271,30169327100050,PME,Agro-Spheres,02,52 RUE D'ETAMPES 02400 CHIERRY,02187,02400,10.11Z,Agro-Spheres,49.037979,3.427091
SARL SABHIR SOCIETE D ABATTAGE D HIRSON,SARL SABHIR SOCIETE D ABATTAGE D HIRSON,403331424,40333142400016,PME,Agro-Spheres,02,138 RUE DE GUISE 02500 HIRSON,02381,02500,10.11Z,Agro-Spheres,49.921103,4.071009
AMIRA,AMIRA,898301742,89830174200018,PME,Agro-Spheres,02,4 RUE DES DEPORTES 02300 CHAUNY,02173,02300,10.11Z,Agro-Spheres,49.615555,3.218175
FLORIAN VALLERAND (CHARCUTERIE VALLERAND),FLORIAN VALLERAND (CHARCUTERIE VALLERAND),920779071,92077907100017,PME,Agro-Spheres,02,41 RUE DE LA MAISON BLEUE 02140 HARY,02373,02140,10.11Z,Agro-Spheres,49.790079,3.933644
BOUCHERIE FAMILY (BOUCHERIE FAMILY),BOUCHERIE FAMILY (BOUCHERIE FAMILY),910603794,91060379400017,PME,Agro-Spheres,02,3 B BOULEVARD GAMBETTA 02100 SAINT-QUENTIN,02691,02100,10.11Z,Agro-Spheres,49.843668,3.294821
DOMINIQUE RAMELET (DECOUPE DE VIANDE DOUDOU),DOMINIQUE RAMELET (DECOUPE DE VIANDE DOUDOU),899991632,89999163200014,PME,Agro-Spheres,02,52 RUE DU MOULIN 02830 SAINT-MICHEL,02684,02830,10.11Z,Agro-Spheres,49.926212,4.146921
L'ABATTOIR DE L'AISNE,L'ABATTOIR DE L'AISNE,790546030,79054603000020,PME,Agro-Spheres,02,14 AVENUE DE L’EUROPE 02430 GAUCHY,02340,02430,10.11Z,Agro-Spheres,49.818434,3.298081
DAMIEN DUCHESNE (DUCHESNE BOUCHERIE CHARCUTERIE CHEVALINE),DAMIEN DUCHESNE (DUCHESNE BOUCHERIE CHARCUTERIE CHEVALINE),922410568,92241056800013,PME,Agro-Spheres,02,3 RUE DE VERVINS 02500 HIRSON,02381,02500,10.11Z,Agro-Spheres,49.922165,4.082516
SOCOPA VIANDES,SOCOPA VIANDES,508513785,50851378500164,GE,ARIA AURA,03,ROUTE DE COSNE 03430 VILLEFRANCHE-D'ALLIER,03315,03430,10.11Z,ARIA AURA,46.423255,2.84776
TRADIVAL,TRADIVAL,327641346,32764134600041,ETI,ARIA AURA,03,ZI DE LUBILLE RTE DE JALIGNY 03120 LAPALISSE,03138,03120,10.11Z,ARIA AURA,46.273713,3.632384
BOUCHERS SERVICES,BOUCHERS SERVICES,317238061,31723806100145,ETI,ARIA AURA,03,AERODROME MOULINS-MONTBEUG CENTR AFFAIRE MOULINS MONT 03400 TOULON-SUR-ALLIER,03286,03400,10.11Z,ARIA AURA,46.499334,3.380781
ETABLISSEMENTS PUIGRENIER (MAISON PUIGRENIER),ETABLISSEMENTS PUIGRENIER (MAISON PUIGRENIER),327852596,32785259600029,ETI,ARIA AURA,03,72 AVENUE DE L'EUROPE 03100 MONTLUCON,03185,03100,10.11Z,ARIA AURA,46.34919,2.597654
ETABLISSEMENTS PUIGRENIER (MAISON PUIGRENIER),ETABLISSEMENTS PUIGRENIER (MAISON PUIGRENIER),327852596,32785259600037,ETI,ARIA AURA,03,ALLEE GILBERT TALBOURDEAU 03100 MONTLUCON,03185,03100,10.11Z,ARIA AURA,46.355582,2.605546
ETABLISSEMENTS PUIGRENIER (MAISON PUIGRENIER),ETABLISSEMENTS PUIGRENIER (MAISON PUIGRENIER),327852596,32785259600060,ETI,ARIA AURA,03,18 RUE BENOIST D'AZY 03100 MONTLUCON,03185,03100,10.11Z,ARIA AURA,46.357926,2.604157
BICHON G.L,BICHON G.L,867800161,86780016100061,GE,ARIA AURA,03,LES BELOTS 03230 LUSIGNY,03156,03230,10.11Z,ARIA AURA,46.588156,3.482171
HASSENFORDER ET FILS,HASSENFORDER ET FILS,936950278,93695027800015,PME,ARIA AURA,03,LE BEAU ROSIER 03400 TOULON SUR ALLIER,03286,03400,10.11Z,ARIA AURA,46.523596,3.39025
HASSENFORDER ET FILS,HASSENFORDER ET FILS,936950278,93695027800023,PME,ARIA AURA,03,9 PASSAGE D’ALLIER 03300 CREUZIER-LE-VIEUX,03094,03300,10.11Z,ARIA AURA,46.166307,3.418313
HASSENFORDER ET FILS,HASSENFORDER ET FILS,936950278,93695027800031,PME,ARIA AURA,03,LE BEAU ROSIER 03400 TOULON SUR ALLIER,03286,03400,10.11Z,ARIA AURA,46.523596,3.39025
MFN PRODUCTION (MA FRANCE NATURE),MFN PRODUCTION (MA FRANCE NATURE),903404028,90340402800016,PME,ARIA AURA,03,18 ROUTE DE VARENNES-SUR-TECHE 03220 SORBIER,03274,03220,10.11Z,ARIA AURA,46.362052,3.657829
MFN PRODUCTION (MA FRANCE NATURE),MFN PRODUCTION (MA FRANCE NATURE),903404028,90340402800024,PME,ARIA AURA,03,14 B RUE DE LA REPUBLIQUE 03120 LAPALISSE,03138,03120,10.11Z,ARIA AURA,46.246257,3.635364
MFN PRODUCTION (MA FRANCE NATURE),MFN PRODUCTION (MA FRANCE NATURE),903404028,90340402800032,PME,ARIA AURA,03,21 RUE DATAS 03000 MOULINS,03190,03000,10.11Z,ARIA AURA,46.563798,3.330126
SOUFFERANT VIANDES,SOUFFERANT VIANDES,305730004,30573000400044,PME,ARIA AURA,03,CASES 37-38 MARCHE COUVERT 03200 VICHY,03310,03200,10.11Z,ARIA AURA,45.053608,2.933293
SOCIETE D'EXPLOITATION MONTLUCONNAISE ABATTOIR PORC (SEMAP),SOCIETE D'EXPLOITATION MONTLUCONNAISE ABATTOIR PORC (SEMAP),491779245,49177924500019,PME,ARIA AURA,03,21 RUE BENOIST D'AZY 03100 MONTLUCON,03185,03100,10.11Z,ARIA AURA,46.358038,2.604165
DESOSSE CENTRE F,DESOSSE CENTRE F,504155011,50415501100019,PME,ARIA AURA,03,18 RUE DU VILLAGE 03170 BEZENET,03027,03170,10.11Z,ARIA AURA,46.326701,2.851196
SOC VICHYSSOISE ABATTAGE (SOVIAB),SOC VICHYSSOISE ABATTAGE (SOVIAB),383006897,38300689700011,PME,ARIA AURA,03,15 PASSAGE D’ALLIER 03300 CREUZIER-LE-VIEUX,03094,03300,10.11Z,ARIA AURA,46.166365,3.418434
SOCIETE NOUVELLE D ABATTAGE (SNA),SOCIETE NOUVELLE D ABATTAGE (SNA),381041466,38104146600016,PME,ARIA AURA,03,ZI VICHY RHUE LES ABATTOIRS DE VICHY 03300 CREUZIER-LE-VIEUX,03094,03300,10.11Z,ARIA AURA,46.149944,3.429302
MICKAEL VERNIER (SOLUTION TRANSPORTS),MICKAEL VERNIER (SOLUTION TRANSPORTS),881310130,88131013000029,PME,ARIA AURA,03,LD LE VAVRIN 03350 CERILLY,03048,03350,10.11Z,ARIA AURA,46.624256,2.833436
KEVIN JAGUELIN,KEVIN JAGUELIN,849256730,84925673000011,PME,ARIA AURA,03,21 VIGNOUX 03410 DOMERAT,03101,03410,10.11Z,ARIA AURA,46.365679,2.543111
CONVIVIAL,CONVIVIAL,350499398,35049939800047,ETI,ARIA AURA,03,ZI VICHY-RHUE 03300 CREUZIER-LE-VIEUX,03094,03300,10.11Z,ARIA AURA,46.1623371,3.4145018
PASCAL ROY,PASCAL ROY,752641506,75264150600023,PME,ARIA AURA,03,12 ROUTE DE LA BERGERETTE 03420 TERJAT,03280,03420,10.11Z,ARIA AURA,46.204041,2.617655
MESNIER DECOUPE,MESNIER DECOUPE,832522247,83252224700028,PME,ARIA AURA,03,LD PRE PORCHE 03250 FERRIERES-SUR-SICHON,03113,03250,10.11Z,ARIA AURA,46.028002,3.651036
SAGE,SAGE,911652188,91165218800010,PME,ARIA AURA,03,28 ROUTE DE THIEL 03290 SAINT-POURCAIN-SUR-BESBRE,03253,03290,10.11Z,ARIA AURA,46.483484,3.620174
SARL PAGIMASE,SARL PAGIMASE,507425486,50742548600010,PME,ARIA AURA,03,6 ET 8 PLACE GEORGES CLEMENCEAU 03500 SAINT-POURCAIN-SUR-SIOULE,03254,03500,10.11Z,ARIA AURA,46.308198,3.291094
LA BOUCHERIE LA ROSE TAKWA (LA BOUCHERIE LA ROSE TAKWA),LA BOUCHERIE LA ROSE TAKWA (LA BOUCHERIE LA ROSE TAKWA),898464748,89846474800018,PME,ARIA Sud,04,72 AVENUE JEAN GIONO 04100 MANOSQUE,04112,04100,10.11Z,ARIA Sud,43.827213,5.786764
LA BOUCHERIE LA ROSE TAKWA (LA BOUCHERIE LA ROSE TAKWA),LA BOUCHERIE LA ROSE TAKWA (LA BOUCHERIE LA ROSE TAKWA),898464748,89846474800034,PME,ARIA Sud,04,96 AVENUE DE LATTRE DE TASSIGNY 04100 MANOSQUE,04112,04100,10.11Z,ARIA Sud,43.824679,5.788931
LA BOUCHERIE LA ROSE TAKWA (LA BOUCHERIE LA ROSE TAKWA),LA BOUCHERIE LA ROSE TAKWA (LA BOUCHERIE LA ROSE TAKWA),898464748,89846474800042,PME,ARIA Sud,04,114 AVENUE JOLIOT-CURIE 04100 MANOSQUE,04112,04100,10.11Z,ARIA Sud,43.822693,5.798109
JOASSAN FRERES,JOASSAN FRERES,420479396,42047939600020,PME,ARIA Sud,04,ROUTE DE SIMIANE 04150 SIMIANE-LA-ROTONDE,04208,04150,10.11Z,ARIA Sud,43.998831,5.552006
SAS DUFOUR,SAS DUFOUR,829949940,82994994000011,PME,ARIA Sud,04,ZA PITAUGIER 04300 MANE,04111,04300,10.11Z,ARIA Sud,43.92567,5.778289
FREDERIC JEAN PIERRE CASTEIGNAU (ATELIER DU 6),FREDERIC JEAN PIERRE CASTEIGNAU (ATELIER DU 6),515237121,51523712100030,PME,ARIA Sud,04,6 BOULEVARD SOUSTRE 04000 DIGNE-LES-BAINS,04070,04000,10.11Z,ARIA Sud,44.090919,6.235385
SARL MEZZASALMA JEAN CLAUDE,SARL MEZZASALMA JEAN CLAUDE,379115983,37911598300031,PME,ARIA Sud,04,LES BOUILLOUETTES 04700 ORAISON,04143,04700,10.11Z,ARIA Sud,43.908616,5.905762
ACTIMEAT,ACTIMEAT,322667585,32266758500010,PME,ARIA Sud,04,ZONE INDUSTRIELLE ZONE INDUSTRIELLE SAINT MAURICE 04100 MANOSQUE,04112,04100,10.11Z,ARIA Sud,43.7991884,5.8155986
ETABLISSEMENTS RICHAUD,ETABLISSEMENTS RICHAUD,405040692,40504069200015,PME,ARIA Sud,04,ZONE ARTISANALE QUAI STE ANNE 04210 VALENSOLE,04230,04210,10.11Z,ARIA Sud,43.839492,5.983685
CHRISTIAN LATIL (LE FUMOIR DES ALPES),CHRISTIAN LATIL (LE FUMOIR DES ALPES),852857606,85285760600010,PME,ARIA Sud,04,CHEMIN DES AIRES 04300 MANE,04111,04300,10.11Z,ARIA Sud,43.939809,5.765594
DANYVIAND,DANYVIAND,917861759,91786175900012,PME,ARIA Sud,04,AVENUE DU MAJORAL MESTRE RAOUL ARNAUD 04100 MANOSQUE,04112,04100,10.11Z,ARIA Sud,43.830571,5.782257
BOUCHERIE HALLAMI,BOUCHERIE HALLAMI,901302182,90130218200018,PME,ARIA Sud,04,PL DU 19 MARS 1962 04860 PIERREVERT,04152,04860,10.11Z,ARIA Sud,43.811339,5.749714
L'ATELIER PAYSANS,L'ATELIER PAYSANS,911108827,91110882700013,PME,ARIA Sud,04,CLOS DE JALINES 04420 MARCOUX,04113,04420,10.11Z,ARIA Sud,44.133141,6.247827
BOYAUDERIE SISTERONNAISE,BOYAUDERIE SISTERONNAISE,334258159,33425815900014,ETI,ARIA Sud,04,15 ALLEE DES ROMARINS 04200 SISTERON,04209,04200,10.11Z,ARIA Sud,44.229782,5.91533
SA D'EXPLOITATION DE L'ABATTOIR MUNICIPAL DE SISTERON (SEAS),SA D'EXPLOITATION DE L'ABATTOIR MUNICIPAL DE SISTERON (SEAS),320090400,32009040000013,PME,ARIA Sud,04,ABATTOIR MUNICIPAL 8 ALLEE DES ROMARINS 04200 SISTERON,04209,04200,10.11Z,ARIA Sud,44.228013,5.914926
SARL BIO SUD EST VIANDES,SARL BIO SUD EST VIANDES,428083992,42808399200027,PME,ARIA Sud,04,NOYERS-SUR-JABRON MAREMIAILLE 04200 NOYERS-SUR-JABRON,04139,04200,10.11Z,ARIA Sud,44.161217,5.835141
SARL D'ABATTAGE ET DE DECOUPE DU PAYS DIGNOIS,SARL D'ABATTAGE ET DE DECOUPE DU PAYS DIGNOIS,499019024,49901902400029,PME,ARIA Sud,04,28 SAINT VERAN 04000 DIGNE-LES-BAINS,04070,04000,10.11Z,ARIA Sud,44.087751,6.215731
BOUCHERIE DES ALPES (BOUCHERIE DES ALPES),BOUCHERIE DES ALPES (BOUCHERIE DES ALPES),950824441,95082444100014,PME,ARIA Sud,04,64 PLACE DE LA REPUBLIQUE 04150 BANON,04018,04150,10.11Z,ARIA Sud,44.03822,5.628124
DELICE ALBION VENTOUX (DELICE ALBION VENTOUX),DELICE ALBION VENTOUX (DELICE ALBION VENTOUX),913640223,91364022300016,PME,ARIA Sud,04,104 RUE MEFFRE 04150 BANON,04018,04150,10.11Z,ARIA Sud,44.038672,5.628807
CHEZ MARCO,CHEZ MARCO,979954278,97995427800011,PME,ARIA Sud,04,12 AVENUE SAINT-ROCH 04310 PEYRUIS,04149,04310,10.11Z,ARIA Sud,44.025819,5.93547
COOP DES PROD BOVINS,COOP DES PROD BOVINS,421363409,42136340900010,PME,ARIA Sud,05,RUE BELLE AUREILLE 05000 GAP,05061,05000,10.11Z,ARIA Sud,44.535381,6.052914
COOP DES PROD BOVINS,COOP DES PROD BOVINS,421363409,42136340900028,PME,ARIA Sud,05,ROUTE DE BARCELONNETTE LE MOULIN DU PRE 05000 GAP,05061,05000,10.11Z,ARIA Sud,44.545462,6.075318
PIERRE ROBIN,PIERRE ROBIN,337868533,33786853300023,PME,ARIA Sud,05,LES ROBERTS LES HODOURENQS 05310 FREISSINIERES,05058,05310,10.11Z,ARIA Sud,44.736604,6.45988
PIERRE ROBIN,PIERRE ROBIN,337868533,33786853300031,PME,ARIA Sud,05,LES ROBERTS 05310 FREISSINIERES,05058,05310,10.11Z,ARIA Sud,44.753156,6.535394
